Year,TotalIndividuals,TotalFemale,TotalMale,AA,Aa,aa,AAFreq,AaFreq,aaFreq,AFreq,aFreq
0,500,252,248,118,254,128,0.24,0.51,0.26,0.49,0.64
1,499,253,246,117,251,131,0.23,0.50,0.26,0.49,0.63
2,498,251,247,115,252,131,0.23,0.51,0.26,0.48,0.64
3,497,249,248,113,251,133,0.23,0.51,0.27,0.48,0.64
4,496,249,247,110,249,137,0.22,0.50,0.28,0.47,0.64
5,495,251,244,106,245,144,0.21,0.49,0.29,0.46,0.64
6,494,251,243,103,242,149,0.21,0.49,0.30,0.45,0.64
7,493,254,239,99,245,149,0.20,0.50,0.30,0.45,0.65
8,492,261,231,94,241,157,0.19,0.49,0.32,0.44,0.65
9,491,259,232,92,240,159,0.19,0.49,0.32,0.43,0.65
10,490,259,231,88,242,160,0.18,0.49,0.33,0.43,0.66
11,489,256,233,87,241,161,0.18,0.49,0.33,0.42,0.66
12,488,253,235,82,239,167,0.17,0.49,0.34,0.41,0.66
13,487,251,236,83,237,167,0.17,0.49,0.34,0.41,0.66
14,486,252,234,79,231,176,0.16,0.48,0.36,0.40,0.66
15,485,252,233,77,232,176,0.16,0.48,0.36,0.40,0.66
16,484,248,236,73,230,181,0.15,0.48,0.37,0.39,0.66
17,483,247,236,68,230,185,0.14,0.48,0.38,0.38,0.67
18,482,248,234,66,228,188,0.14,0.47,0.39,0.37,0.67
19,481,250,231,63,225,193,0.13,0.47,0.40,0.36,0.67
20,480,249,231,60,226,194,0.12,0.47,0.40,0.36,0.67
21,479,251,228,57,224,198,0.12,0.47,0.41,0.35,0.67
22,478,250,228,55,222,201,0.12,0.46,0.42,0.35,0.67
23,477,249,228,54,221,202,0.11,0.46,0.42,0.34,0.68
24,476,249,227,52,216,208,0.11,0.45,0.44,0.34,0.67
25,475,252,223,48,213,214,0.10,0.45,0.45,0.33,0.67
26,474,255,219,46,209,219,0.10,0.44,0.46,0.32,0.67
27,473,251,222,44,206,223,0.09,0.44,0.47,0.31,0.67
28,472,249,223,42,204,226,0.09,0.43,0.48,0.31,0.67
29,471,242,229,38,200,233,0.08,0.42,0.49,0.29,0.67
30,470,243,227,35,199,236,0.07,0.42,0.50,0.29,0.67
