Year,TotalIndividuals,TotalFemale,TotalMale,AA,Aa,aa,AAFreq,AaFreq,aaFreq,AFreq,aFreq
0,500,252,248,118,254,128,0.24,0.51,0.26,0.49,0.64
1,499,252,247,117,252,130,0.23,0.51,0.26,0.49,0.64
2,498,251,247,113,252,133,0.23,0.51,0.27,0.48,0.64
3,497,250,247,111,251,135,0.22,0.51,0.27,0.48,0.64
4,496,248,248,106,251,139,0.21,0.51,0.28,0.47,0.65
5,495,248,247,106,251,138,0.21,0.51,0.28,0.47,0.65
6,494,248,246,102,251,141,0.21,0.51,0.29,0.46,0.65
7,493,246,247,99,247,147,0.20,0.50,0.30,0.45,0.65
8,492,245,247,95,246,151,0.19,0.50,0.31,0.44,0.65
9,491,245,246,93,245,153,0.19,0.50,0.31,0.44,0.65
10,490,244,246,91,244,155,0.19,0.50,0.32,0.43,0.66
11,489,243,246,90,242,157,0.18,0.49,0.32,0.43,0.66
12,488,241,247,88,242,158,0.18,0.50,0.32,0.43,0.66
13,487,239,248,84,242,161,0.17,0.50,0.33,0.42,0.66
14,486,240,246,82,239,165,0.17,0.49,0.34,0.41,0.66
15,485,246,239,78,239,168,0.16,0.49,0.35,0.41,0.67
16,484,245,239,74,239,171,0.15,0.49,0.35,0.40,0.67
17,483,245,238,74,237,172,0.15,0.49,0.36,0.40,0.67
18,482,247,235,71,236,175,0.15,0.49,0.36,0.39,0.67
19,481,247,234,68,231,182,0.14,0.48,0.38,0.38,0.67
20,480,245,235,66,231,183,0.14,0.48,0.38,0.38,0.67
21,479,244,235,65,231,183,0.14,0.48,0.38,0.38,0.67
22,478,243,235,63,229,186,0.13,0.48,0.39,0.37,0.67
23,477,240,237,60,226,191,0.13,0.47,0.40,0.36,0.67
24,476,244,232,56,224,196,0.12,0.47,0.41,0.35,0.68
25,475,244,231,54,225,196,0.11,0.47,0.41,0.35,0.68
26,474,244,230,54,224,196,0.11,0.47,0.41,0.35,0.68
27,473,246,227,51,223,199,0.11,0.47,0.42,0.34,0.68
28,472,248,224,49,219,204,0.10,0.46,0.43,0.34,0.68
29,471,248,223,48,218,205,0.10,0.46,0.44,0.33,0.68
30,470,246,224,43,213,214,0.09,0.45,0.46,0.32,0.68
