Year,TotalIndividuals,TotalFemale,TotalMale,AA,Aa,aa,AAFreq,AaFreq,aaFreq,AFreq,aFreq
0,500,252,248,118,254,128,0.24,0.51,0.26,0.49,0.64
1,499,251,248,118,253,128,0.24,0.51,0.26,0.49,0.64
2,498,246,252,116,251,131,0.23,0.50,0.26,0.48,0.64
3,497,247,250,112,252,133,0.23,0.51,0.27,0.48,0.64
4,496,247,249,110,252,134,0.22,0.51,0.27,0.48,0.64
5,495,246,249,106,250,139,0.21,0.51,0.28,0.47,0.65
6,494,246,248,106,250,138,0.21,0.51,0.28,0.47,0.65
7,493,245,248,103,246,144,0.21,0.50,0.29,0.46,0.65
8,492,246,246,101,243,148,0.21,0.49,0.30,0.45,0.64
9,491,247,244,99,244,148,0.20,0.50,0.30,0.45,0.65
10,490,248,242,95,242,153,0.19,0.49,0.31,0.44,0.65
11,489,246,243,91,238,160,0.19,0.49,0.33,0.43,0.65
12,488,247,241,89,235,164,0.18,0.48,0.34,0.42,0.65
13,487,244,243,84,234,169,0.17,0.48,0.35,0.41,0.65
14,486,246,240,81,234,171,0.17,0.48,0.35,0.41,0.66
15,485,245,240,78,233,174,0.16,0.48,0.36,0.40,0.66
16,484,243,241,76,231,177,0.16,0.48,0.37,0.40,0.66
17,483,243,240,74,231,178,0.15,0.48,0.37,0.39,0.66
18,482,241,241,71,230,181,0.15,0.48,0.38,0.39,0.66
19,481,241,240,69,228,184,0.14,0.47,0.38,0.38,0.67
20,480,238,242,68,228,184,0.14,0.47,0.38,0.38,0.67
21,479,236,243,64,224,191,0.13,0.47,0.40,0.37,0.67
22,478,240,238,60,224,194,0.13,0.47,0.41,0.36,0.67
23,477,240,237,57,221,199,0.12,0.46,0.42,0.35,0.67
24,476,239,237,54,218,204,0.11,0.46,0.43,0.34,0.67
25,475,236,239,53,216,206,0.11,0.45,0.43,0.34,0.67
26,474,237,237,51,217,206,0.11,0.46,0.43,0.34,0.68
27,473,235,238,48,214,211,0.10,0.45,0.45,0.33,0.68
28,472,237,235,45,214,213,0.10,0.45,0.45,0.32,0.68
29,471,236,235,39,211,221,0.08,0.45,0.47,0.31,0.68
30,470,232,238,35,207,228,0.07,0.44,0.49,0.29,0.68
