Year,TotalIndividuals,TotalFemale,TotalMale,AA,Aa,aa,AAFreq,AaFreq,aaFreq,AFreq,aFreq
0,500,238,262,129,237,134,0.26,0.47,0.27,0.49,0.61
1,499,237,262,128,235,136,0.26,0.47,0.27,0.49,0.61
2,498,239,259,127,234,137,0.26,0.47,0.28,0.49,0.61
3,497,239,258,124,233,140,0.25,0.47,0.28,0.48,0.61
4,496,240,256,121,231,144,0.24,0.47,0.29,0.48,0.61
5,495,238,257,118,230,147,0.24,0.46,0.30,0.47,0.61
6,494,238,256,115,227,152,0.23,0.46,0.31,0.46,0.61
7,493,236,257,113,225,155,0.23,0.46,0.31,0.46,0.61
8,492,236,256,113,224,155,0.23,0.46,0.32,0.46,0.61
9,491,235,256,111,222,158,0.23,0.45,0.32,0.45,0.61
10,490,235,255,110,221,159,0.22,0.45,0.32,0.45,0.61
11,489,234,255,107,223,159,0.22,0.46,0.33,0.45,0.62
12,488,232,256,105,224,159,0.22,0.46,0.33,0.44,0.62
13,487,232,255,104,222,161,0.21,0.46,0.33,0.44,0.62
14,486,231,255,104,221,161,0.21,0.45,0.33,0.44,0.62
15,485,231,254,101,223,161,0.21,0.46,0.33,0.44,0.63
16,484,230,254,100,223,161,0.21,0.46,0.33,0.44,0.63
17,483,230,253,99,220,164,0.20,0.46,0.34,0.43,0.63
18,482,228,254,95,221,166,0.20,0.46,0.34,0.43,0.63
19,481,227,254,94,223,164,0.20,0.46,0.34,0.43,0.63
20,480,227,253,91,222,167,0.19,0.46,0.35,0.42,0.64
21,479,231,248,88,218,173,0.18,0.46,0.36,0.41,0.64
22,478,230,248,83,218,177,0.17,0.46,0.37,0.40,0.64
23,477,231,246,82,216,179,0.17,0.45,0.38,0.40,0.64
24,476,231,245,80,217,179,0.17,0.46,0.38,0.40,0.64
25,475,230,245,80,214,181,0.17,0.45,0.38,0.39,0.64
26,474,231,243,77,213,184,0.16,0.45,0.39,0.39,0.64
27,473,229,244,76,212,185,0.16,0.45,0.39,0.38,0.64
28,472,228,244,74,212,186,0.16,0.45,0.39,0.38,0.65
29,471,230,241,72,212,187,0.15,0.45,0.40,0.38,0.65
30,470,232,238,69,212,189,0.15,0.45,0.40,0.37,0.65
