Year,TotalIndividuals,TotalFemale,TotalMale,AA,Aa,aa,AAFreq,AaFreq,aaFreq,AFreq,aFreq
0,500,238,262,129,237,134,0.26,0.47,0.27,0.49,0.61
1,499,238,261,128,236,135,0.26,0.47,0.27,0.49,0.61
2,498,237,261,125,236,137,0.25,0.47,0.28,0.49,0.61
3,497,240,257,121,240,136,0.24,0.48,0.27,0.48,0.62
4,496,236,260,117,245,134,0.24,0.49,0.27,0.48,0.63
5,495,234,261,114,246,135,0.23,0.50,0.27,0.48,0.63
6,494,231,263,114,245,135,0.23,0.50,0.27,0.48,0.63
7,493,231,262,111,242,140,0.23,0.49,0.28,0.47,0.63
8,492,229,263,109,239,144,0.22,0.49,0.29,0.46,0.63
9,491,228,263,107,237,147,0.22,0.48,0.30,0.46,0.63
10,490,227,263,104,237,149,0.21,0.48,0.30,0.45,0.64
11,489,230,259,99,235,155,0.20,0.48,0.32,0.44,0.64
12,488,232,256,95,236,157,0.19,0.48,0.32,0.44,0.64
13,487,233,254,92,236,159,0.19,0.48,0.33,0.43,0.65
14,486,234,252,91,235,160,0.19,0.48,0.33,0.43,0.65
15,485,234,251,90,235,160,0.19,0.48,0.33,0.43,0.65
16,484,236,248,88,235,161,0.18,0.49,0.33,0.42,0.65
17,483,235,248,85,236,162,0.18,0.49,0.34,0.42,0.66
18,482,234,248,82,234,166,0.17,0.49,0.34,0.41,0.66
19,481,236,245,81,232,168,0.17,0.48,0.35,0.41,0.66
20,480,239,241,79,233,168,0.16,0.49,0.35,0.41,0.66
21,479,243,236,74,232,173,0.15,0.48,0.36,0.40,0.66
22,478,242,236,68,231,179,0.14,0.48,0.37,0.38,0.67
23,477,242,235,67,228,182,0.14,0.48,0.38,0.38,0.67
24,476,240,236,65,226,185,0.14,0.47,0.39,0.37,0.67
25,475,240,235,62,222,191,0.13,0.47,0.40,0.36,0.67
26,474,237,237,57,223,194,0.12,0.47,0.41,0.36,0.68
27,473,238,235,55,222,196,0.12,0.47,0.41,0.35,0.68
28,472,239,233,53,223,196,0.11,0.47,0.42,0.35,0.68
29,471,240,231,50,221,200,0.11,0.47,0.42,0.34,0.68
30,470,237,233,49,220,201,0.10,0.47,0.43,0.34,0.68
