XCOORD,YCOORD,ID,age,sex,genetics,gridIn
249.53,255.76,1,30,1,1,10
310.90,355.58,2,32,0,0,15
177.43,134.47,4,32,1,2,5
113.89,226.88,6,30,1,0,9
54.35,154.80,7,33,0,0,4
285.65,343.59,8,30,0,0,14
372.84,206.22,9,32,0,0,11
41.93,176.35,10,33,1,1,4
343.24,177.67,14,33,0,1,7
11.80,18.34,15,32,0,0,0
160.24,349.04,16,30,1,1,13
124.67,386.49,18,33,1,2,13
352.88,331.33,20,30,1,1,15
181.44,257.10,21,32,0,1,9
268.71,302.66,22,31,0,0,14
283.02,222.19,24,32,1,1,10
125.16,338.36,30,31,0,1,13
230.61,187.18,31,31,1,1,6
86.05,329.76,32,30,0,1,12
2.31,340.11,33,31,0,0,12
337.69,312.43,35,33,0,1,15
142.55,80.37,37,31,1,1,1
62.10,112.38,38,33,0,0,4
122.02,170.26,39,30,0,0,5
345.50,128.33,40,32,0,0,7
62.06,197.90,42,32,0,1,4
339.92,395.19,43,31,0,1,15
290.59,30.00,49,30,0,0,2
61.26,82.37,50,31,0,1,0
247.70,39.50,51,31,0,0,2
259.27,273.17,52,30,1,0,10
26.50,98.16,55,31,0,0,0
176.90,90.03,57,30,0,1,1
223.65,389.14,60,32,0,0,14
244.79,11.30,63,32,1,0,2
45.14,288.59,66,31,0,1,8
113.64,130.16,67,32,0,1,5
376.03,255.46,68,30,0,1,11
337.38,109.03,71,31,0,1,7
147.60,162.86,72,30,1,0,5
81.02,47.67,75,33,0,0,0
95.06,262.74,80,30,0,1,8
56.17,394.85,82,30,1,0,12
167.96,26.64,85,30,0,1,1
58.21,256.88,89,30,1,0,8
354.59,4.75,91,32,0,1,3
61.44,27.91,92,31,1,1,0
25.98,385.71,94,32,1,0,12
358.90,8.56,97,31,1,0,3
134.46,325.07,99,30,1,1,13
196.95,184.79,100,30,1,2,5
16.99,123.87,101,31,1,0,4
258.06,194.82,104,32,1,0,6
273.77,82.62,105,31,1,0,2
22.00,291.22,106,32,0,1,8
128.16,121.09,110,31,0,0,5
292.07,380.03,113,30,0,1,14
175.58,153.43,114,30,1,1,5
197.98,33.94,117,31,1,1,1
289.79,230.31,120,33,0,1,10
327.89,170.35,123,32,0,1,7
365.68,154.98,124,33,1,1,7
321.61,251.55,125,32,0,1,11
213.38,31.54,126,32,0,0,2
17.08,247.29,127,33,1,0,8
66.88,93.14,129,31,1,0,0
349.34,259.52,130,31,1,1,11
316.96,296.81,133,30,0,1,11
346.69,40.66,134,33,0,0,3
8.04,217.64,136,31,0,0,8
39.88,177.33,137,33,0,1,4
67.85,119.71,139,30,0,1,4
297.51,89.61,140,31,1,0,2
395.10,349.35,141,33,1,1,15
82.96,351.54,142,31,0,1,12
219.55,233.79,143,33,1,0,10
20.05,55.43,144,30,1,2,0
242.06,37.81,148,30,0,0,2
181.51,262.74,150,32,0,0,9
339.46,26.46,151,32,0,0,3
360.07,113.13,152,30,0,1,7
34.22,190.48,155,30,0,0,4
168.27,46.14,161,30,0,0,1
360.79,67.32,163,33,0,1,3
385.32,50.92,164,30,0,0,3
86.42,59.19,165,32,1,1,0
99.30,320.83,166,32,1,0,12
291.92,17.51,167,32,1,0,2
310.41,237.13,170,33,1,0,11
79.72,211.45,171,30,0,0,8
185.83,170.50,172,33,0,1,5
359.07,242.53,176,32,0,1,11
297.78,352.86,181,32,1,0,14
263.75,268.36,184,32,0,0,10
137.75,23.97,185,30,1,1,1
321.34,72.08,187,30,1,0,3
123.96,304.18,189,30,0,2,13
201.49,340.19,190,30,1,0,14
30.08,105.14,191,30,0,1,4
188.19,287.24,192,30,1,1,9
284.71,14.96,194,32,1,1,2
256.38,181.23,196,33,1,1,6
255.76,37.56,199,32,1,1,2
397.82,126.00,200,32,1,1,7
381.01,75.31,201,33,1,1,3
252.17,316.81,203,31,0,1,14
241.61,103.01,204,33,0,0,6
183.67,43.50,209,32,1,0,1
56.05,55.44,211,30,0,2,0
305.80,144.18,216,31,1,1,7
73.56,38.07,217,30,0,1,0
257.34,73.36,218,33,0,1,2
368.54,384.93,219,33,1,2,15
144.00,91.47,223,31,0,0,1
115.40,342.89,224,31,1,1,13
190.51,226.00,226,30,0,0,9
347.03,66.07,228,30,1,0,3
116.77,207.57,229,32,0,1,9
251.26,180.23,230,32,0,1,6
76.24,351.67,232,31,0,1,12
221.76,228.21,233,31,1,0,10
200.87,198.72,234,31,1,1,6
100.93,79.19,235,30,0,0,1
281.34,123.87,237,32,0,1,6
297.27,97.19,238,33,0,0,2
219.08,162.05,240,33,0,1,6
211.90,104.39,241,30,0,0,6
292.89,27.44,242,31,0,1,2
303.88,222.69,243,31,1,0,11
365.51,323.22,246,30,1,0,15
312.39,397.37,247,31,0,1,15
396.20,171.37,251,30,1,2,7
127.27,295.50,252,30,1,1,9
296.38,174.63,255,33,0,0,6
190.65,291.18,256,32,1,2,9
14.38,92.56,258,31,1,1,0
113.18,121.07,263,33,1,0,5
382.60,194.58,269,30,0,1,7
134.99,336.85,270,32,1,1,13
100.51,181.06,271,33,1,0,5
352.19,340.07,273,30,1,1,15
192.70,102.09,277,33,1,1,5
343.81,44.29,278,33,1,0,3
345.79,231.64,279,32,0,0,11
279.98,373.95,283,31,1,1,14
210.54,341.41,284,32,0,0,14
383.04,97.63,285,30,0,1,3
351.23,352.53,286,32,1,1,15
321.47,76.32,289,32,1,0,3
191.86,217.47,292,31,1,0,9
315.52,187.58,293,30,1,1,7
63.38,330.90,297,30,1,0,12
106.49,109.82,299,32,0,1,5
332.75,14.54,304,30,0,1,3
198.35,233.21,305,33,0,0,9
298.18,70.46,308,30,0,1,2
111.36,352.89,310,32,1,1,13
32.22,13.55,311,31,0,2,0
273.49,12.33,312,33,1,1,2
320.68,146.20,316,33,1,1,7
219.02,249.24,318,30,0,1,10
232.62,205.70,319,30,0,1,10
357.29,268.70,320,32,0,0,11
299.09,339.71,324,31,0,1,14
363.74,381.51,325,32,0,1,15
220.89,385.35,328,31,0,1,14
330.73,196.58,329,33,1,1,7
174.11,143.63,334,32,0,0,5
149.88,391.55,336,31,1,0,13
334.54,26.51,338,33,1,1,3
43.41,83.96,339,30,1,1,0
70.37,103.37,341,33,1,0,4
362.97,100.34,342,32,1,1,7
269.68,228.05,344,31,1,1,10
382.35,220.22,349,31,1,1,11
363.14,184.47,350,30,1,0,7
2.49,230.28,353,30,1,2,8
297.72,2.72,355,33,1,0,2
381.76,301.07,359,31,1,0,15
381.89,45.96,360,33,0,1,3
285.33,378.81,361,30,1,0,14
151.99,307.93,363,30,1,1,13
313.63,159.58,368,31,0,1,7
44.03,336.99,369,33,0,1,12
171.11,295.89,373,33,0,1,9
90.90,188.42,375,31,0,1,4
46.24,65.28,376,31,1,0,0
168.45,7.47,377,31,0,0,1
289.58,310.75,378,31,1,1,14
322.51,368.87,379,31,1,1,15
273.42,370.77,380,33,0,0,14
102.24,82.78,381,33,1,1,1
282.14,128.14,382,30,0,1,6
82.46,27.48,385,33,0,1,0
309.80,258.38,388,32,1,1,11
289.42,138.69,392,32,0,1,6
222.94,340.82,393,32,0,0,14
342.75,245.72,394,32,1,0,11
108.53,379.24,395,30,0,1,13
174.66,201.43,396,30,1,1,9
150.05,197.85,398,33,0,1,5
275.57,92.61,399,33,1,1,2
191.81,149.32,400,31,0,1,5
