XCOORD,YCOORD,ID,age,sex,genetics,gridIn
87.23,368.38,3,24,1,2,12
11.39,199.79,4,23,0,1,4
308.59,236.97,6,22,0,1,11
27.18,132.54,7,23,1,1,4
155.85,342.33,8,24,0,1,13
230.72,207.96,9,23,0,1,10
277.68,249.05,10,25,0,2,10
347.70,326.44,11,24,1,2,15
100.01,371.31,13,24,0,1,13
382.33,380.07,15,25,1,1,15
92.26,103.15,16,25,0,2,4
237.13,339.74,18,24,1,1,14
346.99,363.93,19,22,0,1,15
169.20,214.24,20,23,1,1,9
326.58,34.50,21,25,0,1,3
386.21,161.60,22,23,1,1,7
181.15,85.05,24,22,1,1,1
236.76,89.59,25,23,0,1,2
139.82,221.29,26,23,0,1,9
233.06,370.95,27,23,1,0,14
177.56,309.60,30,22,1,0,13
165.32,188.80,31,24,1,0,5
310.35,259.42,32,24,1,1,11
391.64,138.88,37,24,1,1,7
241.74,269.07,38,25,1,1,10
195.88,166.28,40,23,0,0,5
147.69,337.33,41,22,1,1,13
329.91,208.80,42,22,0,1,11
350.74,46.24,43,24,1,0,3
339.48,122.39,44,23,0,0,7
113.65,370.25,45,24,0,1,13
157.19,377.05,48,24,1,2,13
175.37,317.06,50,23,1,1,13
332.21,362.04,52,24,1,1,15
110.33,383.79,53,22,1,1,13
120.62,140.15,54,23,1,2,5
300.58,337.71,56,23,1,1,15
23.18,352.09,57,23,1,0,12
371.78,312.89,58,22,1,1,15
195.96,285.08,59,25,1,2,9
352.69,235.19,60,25,1,0,11
166.95,217.96,63,23,1,1,9
93.81,60.81,64,25,1,1,0
361.74,151.69,65,23,0,1,7
164.32,71.60,67,23,1,2,1
230.08,393.70,68,22,0,1,14
195.31,76.28,69,22,0,0,1
191.57,89.68,72,24,1,0,1
188.09,129.61,74,25,0,1,5
213.24,183.39,75,23,1,1,6
135.67,223.18,76,23,1,1,9
198.72,343.90,77,22,0,2,13
68.90,104.18,79,25,0,1,4
224.97,69.12,80,23,0,1,2
158.14,105.09,82,24,1,1,5
354.85,258.12,83,25,0,2,11
198.82,310.54,84,25,1,0,13
83.18,136.12,85,22,0,1,4
178.29,309.12,86,23,1,2,13
205.41,396.85,87,24,1,1,14
141.74,352.74,88,22,1,0,13
393.54,7.48,89,24,0,2,3
166.97,262.91,92,25,0,0,9
257.06,346.83,95,23,1,0,14
166.48,351.98,96,23,0,1,13
377.34,301.37,97,22,0,0,15
65.41,87.79,98,23,1,1,0
61.65,25.99,99,25,0,1,0
10.40,155.10,100,24,0,1,4
183.01,259.82,101,24,1,1,9
125.70,359.64,103,25,0,2,13
4.12,222.42,104,25,1,1,8
300.00,233.70,106,22,0,1,10
383.59,273.95,108,24,0,1,11
246.90,374.44,109,25,1,1,14
35.94,2.65,110,22,0,1,0
163.81,123.11,111,24,0,1,5
18.46,161.45,113,25,0,2,4
226.57,15.35,116,23,1,1,2
166.87,399.38,117,22,0,1,13
333.33,176.33,120,23,0,0,7
242.77,67.99,124,23,0,0,2
226.83,56.83,125,22,0,2,2
108.40,95.38,127,24,0,1,1
269.28,332.80,128,23,1,2,14
132.15,333.30,130,22,0,1,13
161.32,106.95,131,25,1,0,5
330.73,192.85,132,23,0,1,7
201.42,102.50,135,22,1,2,6
374.85,203.66,136,23,0,2,11
97.54,7.60,137,23,1,0,0
277.98,150.40,138,25,1,1,6
139.20,393.13,139,22,1,1,13
236.83,150.39,140,23,0,1,6
257.97,93.38,141,25,1,1,2
306.37,293.72,143,25,0,0,11
264.08,298.82,148,25,0,0,10
350.79,47.73,149,25,0,1,3
22.51,262.56,150,22,0,0,8
216.94,210.03,152,22,0,2,10
180.98,107.06,156,25,0,1,5
138.69,151.87,157,23,1,0,5
242.41,237.45,158,25,0,1,10
120.82,230.91,159,25,1,1,9
370.72,103.02,161,23,0,0,7
129.02,195.95,162,25,1,2,5
388.24,125.36,163,24,0,0,7
223.70,55.24,165,23,0,2,2
124.40,66.33,167,25,1,1,1
387.81,351.78,168,25,0,1,15
225.00,30.04,169,22,0,1,2
362.06,3.24,176,23,0,1,3
349.19,53.04,178,24,1,1,3
328.48,351.76,180,22,0,0,15
179.82,227.78,182,22,1,0,9
364.64,259.89,183,23,0,2,11
307.04,197.82,184,24,1,1,7
294.74,342.25,185,25,0,0,14
305.56,165.83,186,24,1,2,7
109.13,274.68,187,24,0,1,9
128.34,281.83,188,25,0,1,9
293.46,132.95,189,23,0,1,6
311.74,36.45,192,24,0,0,3
37.99,322.32,193,22,1,1,12
396.72,309.68,194,24,0,1,15
383.16,123.73,195,23,1,1,7
189.73,152.66,196,23,1,0,5
155.08,252.05,197,23,1,0,9
130.15,188.35,198,22,1,1,5
180.70,314.89,199,23,0,1,13
239.38,157.89,200,22,1,2,6
256.26,31.09,201,25,1,0,2
233.74,362.43,202,24,0,1,14
191.10,294.91,204,22,0,0,9
18.17,97.05,206,24,1,0,0
239.34,104.30,207,25,1,1,6
321.85,69.59,210,22,1,1,3
145.70,326.47,211,25,1,1,13
176.77,72.72,214,24,1,2,1
362.71,372.64,215,23,1,1,15
139.42,323.93,216,23,0,1,13
333.50,32.80,217,23,0,0,3
196.77,377.96,219,24,1,0,13
111.33,182.78,221,23,1,1,5
248.18,166.75,224,24,1,1,6
15.25,103.43,225,24,1,1,4
212.77,108.77,227,25,1,1,6
256.54,399.17,228,24,1,1,14
373.69,62.77,229,22,1,1,3
26.67,293.14,230,22,0,1,8
73.97,250.56,231,23,1,1,8
398.62,132.93,232,23,0,1,7
155.65,4.09,233,23,0,0,1
202.54,75.13,234,22,1,1,2
272.52,6.46,235,22,1,1,2
193.22,219.98,238,25,0,0,9
109.09,11.05,240,24,1,1,1
139.01,141.61,242,25,1,0,5
310.04,311.34,243,22,1,0,15
82.35,193.20,244,23,1,1,4
317.59,347.32,245,24,1,1,15
296.56,208.20,246,24,1,1,10
124.33,148.35,247,24,0,1,5
261.87,129.05,248,22,0,2,6
185.33,253.03,249,24,0,1,9
271.95,193.24,250,24,1,2,6
346.99,229.05,251,24,0,2,11
387.26,283.19,252,22,0,1,11
60.54,297.59,253,24,0,2,8
42.11,238.85,255,25,0,1,8
221.91,291.00,256,24,1,1,10
188.49,278.53,257,23,1,1,9
225.29,238.71,259,22,1,1,10
353.12,21.17,260,24,0,2,3
56.67,111.31,261,23,1,1,4
320.08,47.38,263,23,1,2,3
47.41,330.26,268,25,0,1,12
362.11,397.35,269,23,1,0,15
323.72,113.34,270,24,0,1,7
192.88,361.53,272,23,0,1,13
259.63,19.17,273,22,0,0,2
365.83,197.97,274,24,1,1,7
342.26,173.46,275,25,0,1,7
44.65,6.45,276,24,0,0,0
132.53,244.52,277,25,0,1,9
79.49,23.45,278,23,1,2,0
12.86,318.50,279,24,1,0,12
374.80,241.76,280,22,1,0,11
374.47,137.24,281,24,1,0,7
393.99,198.43,282,25,0,1,7
158.18,384.23,284,23,1,1,13
88.42,364.13,285,25,0,2,12
23.68,254.28,286,23,1,2,8
363.46,260.79,288,24,1,1,11
24.78,37.12,289,25,0,0,0
340.98,164.71,290,25,0,1,7
394.76,311.73,292,24,0,0,15
389.11,374.21,293,25,0,1,15
30.98,97.32,294,23,1,1,0
267.62,316.82,295,23,0,0,14
266.28,370.80,296,25,1,2,14
242.72,153.83,297,24,1,1,6
8.57,202.18,298,25,1,1,8
303.74,111.86,300,24,1,1,7
255.69,100.56,301,24,0,0,6
55.89,44.09,302,22,0,1,0
115.80,169.40,303,25,0,0,5
