XCOORD,YCOORD,ID,age,sex,genetics,gridIn
196.09,55.03,0,4,0,2,1
320.15,254.46,1,4,0,1,11
300.15,54.95,2,4,0,1,3
281.67,153.47,3,3,0,2,6
274.04,372.16,5,4,1,1,14
105.05,179.52,6,6,1,1,5
346.59,262.46,7,6,1,2,11
323.23,0.91,8,3,1,2,3
37.52,84.07,9,6,1,0,0
217.46,64.07,10,4,0,2,2
136.24,162.61,11,4,0,1,5
339.82,229.14,13,6,0,0,11
128.49,380.34,14,3,1,0,13
221.03,95.81,15,4,1,2,2
215.91,25.62,16,4,1,2,2
239.76,315.25,17,6,0,1,14
22.19,60.58,18,5,1,0,0
210.75,190.96,19,5,0,2,6
269.15,309.16,20,6,0,0,14
60.95,315.42,21,4,0,1,12
112.66,134.62,22,6,0,2,5
299.63,287.92,23,6,0,2,10
138.69,262.40,24,4,1,1,9
50.23,30.33,25,4,0,1,0
366.03,34.82,26,6,0,2,3
174.14,71.18,27,5,1,0,1
101.70,62.26,28,3,0,2,1
31.25,29.28,29,3,1,2,0
345.66,216.92,30,4,0,2,11
296.06,130.59,31,5,0,1,6
285.11,111.12,32,6,0,1,6
302.11,65.37,33,3,1,0,3
188.92,393.63,34,3,1,0,13
143.98,328.12,35,5,0,1,13
310.81,154.98,36,5,0,2,7
271.77,281.89,37,3,0,1,10
284.17,284.73,38,6,1,0,10
183.25,368.21,39,6,0,2,13
89.53,14.73,40,5,1,2,0
276.76,362.06,42,4,1,1,14
306.38,163.72,43,4,0,2,7
164.51,349.75,44,6,0,2,13
109.63,67.58,45,6,0,2,1
267.22,227.88,46,6,1,2,10
365.54,239.89,47,3,0,1,11
181.51,75.64,48,3,1,2,1
351.19,82.11,49,3,1,1,3
279.08,336.20,50,4,0,1,14
181.94,163.05,51,6,0,1,5
390.23,65.67,52,3,0,1,3
166.08,335.41,53,6,1,0,13
178.34,34.81,54,6,1,1,1
377.07,110.60,55,6,1,1,7
145.47,204.21,56,5,0,2,9
358.38,355.98,58,5,1,1,15
308.22,241.23,59,3,0,2,11
220.00,249.41,60,4,0,1,10
334.55,210.51,61,4,1,2,11
199.07,175.54,62,6,1,0,5
202.52,29.36,63,5,0,0,2
346.92,39.78,64,5,0,2,3
49.51,217.98,65,4,0,2,8
153.89,46.41,66,3,1,1,1
33.70,238.23,67,5,1,0,8
210.50,50.10,68,4,0,1,2
199.58,162.89,69,3,0,1,5
194.76,165.97,70,3,0,0,5
391.38,127.00,71,4,1,1,7
200.85,38.34,72,5,0,1,2
342.11,232.00,73,5,1,2,11
40.88,272.65,74,4,0,2,8
21.45,395.20,75,6,1,2,12
304.14,184.02,76,4,0,1,7
376.75,371.96,77,3,0,0,15
223.06,114.77,78,3,1,1,6
229.61,355.65,79,5,1,1,14
398.07,41.98,80,4,1,2,3
98.56,184.20,81,3,0,0,4
395.80,199.37,82,6,1,1,7
61.73,316.09,83,5,1,2,12
151.78,85.57,84,5,0,2,1
368.09,362.68,85,5,0,2,15
182.45,361.08,86,6,0,1,13
258.30,159.44,87,4,0,1,6
235.71,183.01,88,5,0,1,6
385.56,351.78,89,6,1,2,15
176.92,138.72,90,3,1,0,5
209.54,124.73,91,6,0,2,6
4.00,376.56,92,4,0,2,12
80.31,77.74,93,6,1,2,0
136.50,35.59,94,3,0,0,1
362.60,334.31,95,3,0,0,15
238.75,381.13,96,5,0,1,14
67.89,240.06,98,5,1,1,8
135.49,372.05,99,5,1,1,13
131.69,354.98,100,3,0,1,13
201.19,379.38,101,6,1,1,14
112.62,25.91,102,5,0,1,1
361.79,175.00,103,6,0,2,7
231.06,278.50,104,3,0,1,10
129.33,175.51,105,6,0,2,5
353.44,139.70,106,3,0,2,7
70.05,212.47,107,5,0,1,8
237.27,354.22,108,6,0,1,14
301.25,66.12,109,3,1,1,3
282.84,226.99,110,3,1,0,10
71.30,253.27,111,5,1,2,8
378.72,395.93,112,5,0,2,15
47.08,171.51,113,6,1,0,4
110.23,48.81,114,6,0,1,1
258.97,234.79,115,5,0,1,10
100.19,194.17,116,5,1,2,5
195.36,114.62,117,6,0,2,5
288.79,161.36,118,5,0,2,6
221.99,91.55,119,4,0,0,2
310.98,264.04,120,6,1,2,11
236.11,139.46,121,5,1,2,6
173.09,106.04,122,4,1,2,5
370.92,48.26,123,3,1,1,3
82.93,362.11,124,6,1,0,12
60.47,6.24,125,3,0,0,0
205.16,35.82,126,6,1,0,2
393.13,19.30,128,3,0,1,3
380.46,222.20,129,3,0,2,11
104.37,51.52,130,4,1,0,1
210.93,399.27,131,4,0,1,14
305.53,38.85,132,4,1,2,3
149.03,69.44,133,5,0,2,1
71.46,1.86,134,3,0,1,0
247.95,66.74,135,6,1,2,2
264.62,276.84,136,6,1,1,10
198.83,131.67,137,6,1,1,5
6.11,14.27,138,4,0,2,0
365.32,390.30,139,4,1,2,15
371.36,70.05,140,6,0,1,3
68.63,346.45,141,6,0,0,12
242.42,21.37,143,6,1,1,2
109.21,371.47,144,3,0,1,13
238.66,77.31,145,4,1,0,2
21.76,329.46,146,5,0,0,12
224.67,268.05,147,4,0,0,10
282.80,301.41,148,3,1,0,14
227.79,8.27,149,4,1,1,2
255.26,46.59,150,3,1,1,2
153.46,388.93,151,6,0,2,13
223.03,308.58,152,4,1,2,14
194.25,219.75,153,6,0,0,9
93.33,305.24,154,3,0,2,12
301.36,157.75,155,5,1,1,7
261.21,397.35,156,4,1,1,14
303.97,213.31,157,3,1,1,11
284.73,373.92,158,4,0,0,14
288.48,295.83,159,6,1,0,10
311.40,331.77,160,6,0,2,15
253.91,311.67,161,4,0,0,14
224.92,240.47,163,4,1,1,10
222.00,328.47,164,4,1,1,14
355.31,94.05,165,4,1,1,3
78.50,220.38,166,6,1,1,8
159.52,163.09,167,4,0,2,5
141.29,263.40,168,4,0,1,9
164.77,86.99,169,3,1,1,1
227.52,291.44,170,5,1,1,10
41.51,110.67,171,4,1,1,4
173.34,260.02,172,5,1,1,9
20.64,264.85,173,3,1,0,8
24.44,386.22,174,5,1,1,12
71.20,28.02,175,5,0,2,0
209.65,173.26,176,6,0,1,6
323.82,203.48,177,3,1,0,11
321.82,52.39,178,3,0,2,3
284.28,147.50,179,6,0,0,6
249.59,395.36,180,6,1,1,14
329.35,238.83,181,3,1,1,11
118.12,353.82,182,3,1,2,13
83.80,371.26,183,6,0,1,12
150.10,70.42,184,4,0,1,1
81.75,315.59,185,3,0,1,12
100.81,6.45,186,3,1,0,1
205.86,103.04,187,6,1,0,6
335.38,138.38,188,6,1,2,7
320.83,55.91,189,3,1,0,3
374.39,79.58,190,4,0,1,3
94.43,213.45,191,3,1,1,8
326.00,146.58,192,5,0,1,7
283.89,174.79,193,4,1,0,6
365.59,231.23,194,3,1,2,11
379.86,179.31,195,6,1,1,7
101.15,157.50,196,4,1,1,5
134.05,271.67,197,6,1,0,9
123.22,2.61,198,5,0,1,1
