Year,TotalIndividuals,TotalFemale,TotalMale,AA,Aa,aa,AAFreq,AaFreq,aaFreq,AFreq,aFreq
0,500,245,255,117,245,138,0.23,0.49,0.28,0.48,0.63
1,499,245,254,115,245,139,0.23,0.49,0.28,0.48,0.63
2,498,248,250,112,244,142,0.22,0.49,0.29,0.47,0.63
3,497,246,251,111,244,142,0.22,0.49,0.29,0.47,0.63
4,496,248,248,108,243,145,0.22,0.49,0.29,0.46,0.64
5,495,247,248,104,242,149,0.21,0.49,0.30,0.45,0.64
6,494,246,248,101,242,151,0.20,0.49,0.31,0.45,0.64
7,493,244,249,98,241,154,0.20,0.49,0.31,0.44,0.65
8,492,246,246,95,243,154,0.19,0.49,0.31,0.44,0.65
9,491,242,249,91,240,160,0.19,0.49,0.33,0.43,0.65
10,490,244,246,88,241,161,0.18,0.49,0.33,0.43,0.66
11,489,245,244,84,239,166,0.17,0.49,0.34,0.42,0.66
12,488,241,247,82,240,166,0.17,0.49,0.34,0.41,0.66
13,487,242,245,80,238,169,0.16,0.49,0.35,0.41,0.66
14,486,236,250,78,237,171,0.16,0.49,0.35,0.40,0.66
15,485,240,245,75,236,174,0.15,0.49,0.36,0.40,0.67
16,484,236,248,72,234,178,0.15,0.48,0.37,0.39,0.67
17,483,241,242,68,233,182,0.14,0.48,0.38,0.38,0.67
18,482,238,244,65,229,188,0.13,0.48,0.39,0.37,0.67
19,481,237,244,60,227,194,0.12,0.47,0.40,0.36,0.67
20,480,234,246,56,225,199,0.12,0.47,0.41,0.35,0.68
21,479,238,241,56,223,200,0.12,0.47,0.42,0.35,0.67
22,478,236,242,51,223,204,0.11,0.47,0.43,0.34,0.68
23,477,238,239,47,216,214,0.10,0.45,0.45,0.32,0.68
24,476,239,237,44,213,219,0.09,0.45,0.46,0.32,0.68
25,475,240,235,35,210,230,0.07,0.44,0.48,0.29,0.68
26,474,236,238,31,208,235,0.07,0.44,0.50,0.28,0.69
27,473,235,238,27,205,241,0.06,0.43,0.51,0.27,0.69
28,472,235,237,26,201,245,0.06,0.43,0.52,0.27,0.69
29,471,231,240,23,201,247,0.05,0.43,0.52,0.26,0.69
30,470,231,239,20,200,250,0.04,0.43,0.53,0.26,0.69
