Year,TotalIndividuals,TotalFemale,TotalMale,AA,Aa,aa,AAFreq,AaFreq,aaFreq,AFreq,aFreq
0,500,245,255,117,245,138,0.23,0.49,0.28,0.48,0.63
1,499,244,255,115,246,138,0.23,0.49,0.28,0.48,0.63
2,498,244,254,113,247,138,0.23,0.50,0.28,0.47,0.63
3,497,244,253,110,247,140,0.22,0.50,0.28,0.47,0.64
4,496,243,253,107,247,142,0.22,0.50,0.29,0.46,0.64
5,495,242,253,107,246,142,0.22,0.50,0.29,0.46,0.64
6,494,245,249,104,246,144,0.21,0.50,0.29,0.46,0.64
7,493,245,248,103,243,147,0.21,0.49,0.30,0.46,0.64
8,492,249,243,98,244,150,0.20,0.50,0.30,0.45,0.65
9,491,246,245,95,244,152,0.19,0.50,0.31,0.44,0.65
10,490,247,243,94,244,152,0.19,0.50,0.31,0.44,0.65
11,489,253,236,94,240,155,0.19,0.49,0.32,0.44,0.65
12,488,252,236,88,241,159,0.18,0.49,0.33,0.43,0.66
13,487,253,234,86,239,162,0.18,0.49,0.33,0.42,0.66
14,486,253,233,86,237,163,0.18,0.49,0.34,0.42,0.66
15,485,250,235,85,236,164,0.18,0.49,0.34,0.42,0.66
16,484,251,233,85,234,165,0.18,0.48,0.34,0.42,0.65
17,483,253,230,82,230,171,0.17,0.48,0.35,0.41,0.65
18,482,252,230,79,225,178,0.16,0.47,0.37,0.40,0.65
19,481,248,233,76,222,183,0.16,0.46,0.38,0.39,0.65
20,480,248,232,75,221,184,0.16,0.46,0.38,0.39,0.65
21,479,247,232,70,222,187,0.15,0.46,0.39,0.38,0.66
22,478,247,231,66,220,192,0.14,0.46,0.40,0.37,0.66
23,477,246,231,62,217,198,0.13,0.45,0.42,0.36,0.66
24,476,247,229,60,215,201,0.13,0.45,0.42,0.35,0.66
25,475,246,229,57,213,205,0.12,0.45,0.43,0.34,0.66
26,474,245,229,54,210,210,0.11,0.44,0.44,0.34,0.66
27,473,244,229,52,209,212,0.11,0.44,0.45,0.33,0.67
28,472,244,228,51,206,215,0.11,0.44,0.46,0.33,0.66
29,471,243,228,49,204,218,0.10,0.43,0.46,0.32,0.66
30,470,243,227,47,204,219,0.10,0.43,0.47,0.32,0.67
