Year,TotalIndividuals,TotalFemale,TotalMale,AA,Aa,aa,AAFreq,AaFreq,aaFreq,AFreq,aFreq
0,500,245,255,117,245,138,0.23,0.49,0.28,0.48,0.63
1,499,245,254,117,244,138,0.23,0.49,0.28,0.48,0.63
2,498,244,254,115,244,139,0.23,0.49,0.28,0.48,0.63
3,497,248,249,111,242,144,0.22,0.49,0.29,0.47,0.63
4,496,249,247,109,241,146,0.22,0.49,0.29,0.46,0.63
5,495,247,248,106,244,145,0.21,0.49,0.29,0.46,0.64
6,494,249,245,105,242,147,0.21,0.49,0.30,0.46,0.64
7,493,247,246,104,239,150,0.21,0.48,0.30,0.45,0.64
8,492,246,246,102,239,151,0.21,0.49,0.31,0.45,0.64
9,491,245,246,103,238,150,0.21,0.48,0.31,0.45,0.64
10,490,246,244,99,238,153,0.20,0.49,0.31,0.44,0.64
11,489,242,247,93,234,162,0.19,0.48,0.33,0.43,0.64
12,488,241,247,90,233,165,0.18,0.48,0.34,0.42,0.65
13,487,240,247,89,230,168,0.18,0.47,0.34,0.42,0.64
14,486,239,247,86,231,169,0.18,0.48,0.35,0.41,0.65
15,485,240,245,84,231,170,0.17,0.48,0.35,0.41,0.65
16,484,237,247,82,231,171,0.17,0.48,0.35,0.41,0.65
17,483,237,246,80,230,173,0.17,0.48,0.36,0.40,0.66
18,482,237,245,78,229,175,0.16,0.48,0.36,0.40,0.66
19,481,236,245,76,226,179,0.16,0.47,0.37,0.39,0.66
20,480,234,246,77,224,179,0.16,0.47,0.37,0.39,0.65
21,479,235,244,76,221,182,0.16,0.46,0.38,0.39,0.65
22,478,232,246,74,221,183,0.15,0.46,0.38,0.39,0.65
23,477,230,247,72,220,185,0.15,0.46,0.39,0.38,0.66
24,476,230,246,67,217,192,0.14,0.46,0.40,0.37,0.66
25,475,234,241,64,217,194,0.13,0.46,0.41,0.36,0.66
26,474,234,240,62,215,197,0.13,0.45,0.42,0.36,0.66
27,473,230,243,58,215,200,0.12,0.45,0.42,0.35,0.67
28,472,229,243,57,213,202,0.12,0.45,0.43,0.35,0.67
29,471,226,245,55,210,206,0.12,0.45,0.44,0.34,0.66
30,470,225,245,52,208,210,0.11,0.44,0.45,0.33,0.67
