XCOORD,YCOORD,ID,age,sex,genetics,gridIn
196.09,55.03,0,10,0,2,1
320.15,254.46,1,10,0,1,11
300.15,54.95,2,10,0,1,3
350.26,61.13,4,10,0,0,3
274.04,372.16,5,10,1,1,14
105.05,179.52,6,12,1,1,5
346.59,262.46,7,12,1,2,11
323.23,0.91,8,9,1,2,3
37.52,84.07,9,12,1,0,0
217.46,64.07,10,10,0,2,2
136.24,162.61,11,10,0,1,5
233.52,128.69,12,10,0,1,6
339.82,229.14,13,12,0,0,11
128.49,380.34,14,9,1,0,13
215.91,25.62,16,10,1,2,2
239.76,315.25,17,12,0,1,14
22.19,60.58,18,11,1,0,0
210.75,190.96,19,11,0,2,6
60.95,315.42,21,10,0,1,12
112.66,134.62,22,12,0,2,5
138.69,262.40,24,10,1,1,9
50.23,30.33,25,10,0,1,0
174.14,71.18,27,11,1,0,1
101.70,62.26,28,9,0,2,1
345.66,216.92,30,10,0,2,11
296.06,130.59,31,11,0,1,6
285.11,111.12,32,12,0,1,6
302.11,65.37,33,9,1,0,3
188.92,393.63,34,9,1,0,13
310.81,154.98,36,11,0,2,7
271.77,281.89,37,9,0,1,10
284.17,284.73,38,12,1,0,10
183.25,368.21,39,12,0,2,13
376.19,326.84,41,12,1,1,15
276.76,362.06,42,10,1,1,14
306.38,163.72,43,10,0,2,7
164.51,349.75,44,12,0,2,13
109.63,67.58,45,12,0,2,1
267.22,227.88,46,12,1,2,10
181.51,75.64,48,9,1,2,1
351.19,82.11,49,9,1,1,3
279.08,336.20,50,10,0,1,14
181.94,163.05,51,12,0,1,5
390.23,65.67,52,9,0,1,3
178.34,34.81,54,12,1,1,1
377.07,110.60,55,12,1,1,7
145.47,204.21,56,11,0,2,9
279.22,117.07,57,9,1,1,6
308.22,241.23,59,9,0,2,11
220.00,249.41,60,10,0,1,10
334.55,210.51,61,10,1,2,11
199.07,175.54,62,12,1,0,5
202.52,29.36,63,11,0,0,2
346.92,39.78,64,11,0,2,3
49.51,217.98,65,10,0,2,8
153.89,46.41,66,9,1,1,1
33.70,238.23,67,11,1,0,8
210.50,50.10,68,10,0,1,2
199.58,162.89,69,9,0,1,5
391.38,127.00,71,10,1,1,7
200.85,38.34,72,11,0,1,2
40.88,272.65,74,10,0,2,8
21.45,395.20,75,12,1,2,12
304.14,184.02,76,10,0,1,7
376.75,371.96,77,9,0,0,15
223.06,114.77,78,9,1,1,6
229.61,355.65,79,11,1,1,14
398.07,41.98,80,10,1,2,3
98.56,184.20,81,9,0,0,4
395.80,199.37,82,12,1,1,7
