Year,TotalIndividuals,TotalFemale,TotalMale,AA,Aa,aa,AAFreq,AaFreq,aaFreq,AFreq,aFreq
0,500,262,238,130,270,100,0.26,0.54,0.20,0.53,0.64
1,499,260,239,130,270,99,0.26,0.54,0.20,0.53,0.64
2,498,259,239,128,270,100,0.26,0.54,0.20,0.53,0.64
3,497,256,241,126,270,101,0.25,0.54,0.20,0.53,0.64
4,496,256,240,124,270,102,0.25,0.54,0.21,0.52,0.65
5,495,257,238,124,268,103,0.25,0.54,0.21,0.52,0.65
6,494,253,241,122,268,104,0.25,0.54,0.21,0.52,0.65
7,493,255,238,121,268,104,0.25,0.54,0.21,0.52,0.65
8,492,258,234,118,264,110,0.24,0.54,0.22,0.51,0.65
9,491,258,233,118,262,111,0.24,0.53,0.23,0.51,0.65
10,490,260,230,116,262,112,0.24,0.53,0.23,0.50,0.65
11,489,259,230,115,257,117,0.24,0.53,0.24,0.50,0.65
12,488,260,228,113,258,117,0.23,0.53,0.24,0.50,0.65
13,487,256,231,112,258,117,0.23,0.53,0.24,0.49,0.65
14,486,257,229,110,257,119,0.23,0.53,0.24,0.49,0.65
15,485,256,229,108,258,119,0.22,0.53,0.25,0.49,0.65
16,484,252,232,102,262,120,0.21,0.54,0.25,0.48,0.67
17,483,250,233,100,264,119,0.21,0.55,0.25,0.48,0.67
18,482,252,230,99,262,121,0.21,0.54,0.25,0.48,0.67
19,481,252,229,97,262,122,0.20,0.54,0.25,0.47,0.67
20,480,247,233,93,261,126,0.19,0.54,0.26,0.47,0.67
21,479,246,233,92,260,127,0.19,0.54,0.27,0.46,0.68
22,478,245,233,90,258,130,0.19,0.54,0.27,0.46,0.68
23,477,244,233,88,256,133,0.18,0.54,0.28,0.45,0.68
24,476,244,232,84,257,135,0.18,0.54,0.28,0.45,0.68
25,475,243,232,81,255,139,0.17,0.54,0.29,0.44,0.68
26,474,244,230,72,257,145,0.15,0.54,0.31,0.42,0.70
27,473,243,230,70,257,146,0.15,0.54,0.31,0.42,0.70
28,472,241,231,65,255,152,0.14,0.54,0.32,0.41,0.70
29,471,240,231,65,254,152,0.14,0.54,0.32,0.41,0.70
30,470,238,232,64,252,154,0.14,0.54,0.33,0.40,0.70
