Year,TotalIndividuals,TotalFemale,TotalMale,AA,Aa,aa,AAFreq,AaFreq,aaFreq,AFreq,aFreq
0,500,262,238,130,270,100,0.26,0.54,0.20,0.53,0.64
1,499,260,239,128,268,103,0.26,0.54,0.21,0.53,0.64
2,498,261,237,126,268,104,0.25,0.54,0.21,0.52,0.64
3,497,261,236,125,267,105,0.25,0.54,0.21,0.52,0.64
4,496,257,239,123,265,108,0.25,0.53,0.22,0.52,0.64
5,495,251,244,120,263,112,0.24,0.53,0.23,0.51,0.64
6,494,250,244,118,263,113,0.24,0.53,0.23,0.51,0.65
7,493,250,243,113,263,117,0.23,0.53,0.24,0.50,0.65
8,492,246,246,108,262,122,0.22,0.53,0.25,0.49,0.66
9,491,247,244,108,261,122,0.22,0.53,0.25,0.49,0.66
10,490,248,242,104,261,125,0.21,0.53,0.26,0.48,0.66
11,489,248,241,100,264,125,0.20,0.54,0.26,0.47,0.67
12,488,248,240,99,264,125,0.20,0.54,0.26,0.47,0.67
13,487,246,241,96,260,131,0.20,0.53,0.27,0.46,0.67
14,486,249,237,92,258,136,0.19,0.53,0.28,0.45,0.67
15,485,246,239,88,254,143,0.18,0.52,0.29,0.44,0.67
16,484,244,240,86,251,147,0.18,0.52,0.30,0.44,0.67
17,483,246,237,86,248,149,0.18,0.51,0.31,0.43,0.67
18,482,245,237,86,248,148,0.18,0.51,0.31,0.44,0.67
19,481,243,238,85,246,150,0.18,0.51,0.31,0.43,0.67
20,480,241,239,83,246,151,0.17,0.51,0.31,0.43,0.67
21,479,242,237,81,244,154,0.17,0.51,0.32,0.42,0.67
22,478,240,238,79,244,155,0.17,0.51,0.32,0.42,0.67
23,477,239,238,76,246,155,0.16,0.52,0.32,0.42,0.68
24,476,238,238,74,244,158,0.16,0.51,0.33,0.41,0.68
25,475,236,239,69,239,167,0.15,0.50,0.35,0.40,0.68
26,474,234,240,69,236,169,0.15,0.50,0.36,0.39,0.68
27,473,231,242,66,233,174,0.14,0.49,0.37,0.39,0.68
28,472,239,233,61,234,177,0.13,0.50,0.38,0.38,0.68
29,471,232,239,58,234,179,0.12,0.50,0.38,0.37,0.69
30,470,234,236,56,232,182,0.12,0.49,0.39,0.37,0.69
