XCOORD,YCOORD,ID,age,sex,genetics,gridIn
243.17,135.51,0,8,1,2,6
77.30,164.90,1,7,1,1,4
87.23,368.38,3,7,1,2,12
11.39,199.79,4,6,0,1,4
180.45,165.89,5,6,0,0,5
308.59,236.97,6,5,0,1,11
27.18,132.54,7,6,1,1,4
155.85,342.33,8,7,0,1,13
230.72,207.96,9,6,0,1,10
277.68,249.05,10,8,0,2,10
347.70,326.44,11,7,1,2,15
117.93,91.90,12,8,1,2,1
100.01,371.31,13,7,0,1,13
246.15,130.12,14,6,0,1,6
382.33,380.07,15,8,1,1,15
92.26,103.15,16,8,0,2,4
237.13,339.74,18,7,1,1,14
346.99,363.93,19,5,0,1,15
169.20,214.24,20,6,1,1,9
326.58,34.50,21,8,0,1,3
386.21,161.60,22,6,1,1,7
297.96,152.37,23,7,0,1,6
181.15,85.05,24,5,1,1,1
236.76,89.59,25,6,0,1,2
139.82,221.29,26,6,0,1,9
233.06,370.95,27,6,1,0,14
286.44,191.10,28,8,0,2,6
350.64,225.99,29,6,0,2,11
177.56,309.60,30,5,1,0,13
165.32,188.80,31,7,1,0,5
310.35,259.42,32,7,1,1,11
373.80,329.85,33,7,0,1,15
53.08,46.06,34,8,1,2,0
348.82,337.05,35,8,0,1,15
16.90,164.99,36,5,1,1,4
391.64,138.88,37,7,1,1,7
241.74,269.07,38,8,1,1,10
81.60,384.14,39,5,0,1,12
195.88,166.28,40,6,0,0,5
147.69,337.33,41,5,1,1,13
329.91,208.80,42,5,0,1,11
350.74,46.24,43,7,1,0,3
339.48,122.39,44,6,0,0,7
113.65,370.25,45,7,0,1,13
26.48,359.53,46,5,0,1,12
157.19,377.05,48,7,1,2,13
286.48,271.44,49,8,1,1,10
175.37,317.06,50,6,1,1,13
91.07,156.02,51,7,0,1,4
332.21,362.04,52,7,1,1,15
110.33,383.79,53,5,1,1,13
120.62,140.15,54,6,1,2,5
282.06,125.44,55,7,1,1,6
300.58,337.71,56,6,1,1,15
23.18,352.09,57,6,1,0,12
371.78,312.89,58,5,1,1,15
195.96,285.08,59,8,1,2,9
352.69,235.19,60,8,1,0,11
320.01,21.90,61,5,0,0,3
237.88,292.28,62,6,0,1,10
166.95,217.96,63,6,1,1,9
93.81,60.81,64,8,1,1,0
361.74,151.69,65,6,0,1,7
164.32,71.60,67,6,1,2,1
230.08,393.70,68,5,0,1,14
195.31,76.28,69,5,0,0,1
94.68,387.17,70,5,0,2,12
165.65,67.27,71,8,0,1,1
191.57,89.68,72,7,1,0,1
295.19,228.06,73,6,0,1,10
188.09,129.61,74,8,0,1,5
213.24,183.39,75,6,1,1,6
135.67,223.18,76,6,1,1,9
198.72,343.90,77,5,0,2,13
241.43,24.80,78,7,0,1,2
68.90,104.18,79,8,0,1,4
224.97,69.12,80,6,0,1,2
47.08,310.21,81,7,1,1,12
158.14,105.09,82,7,1,1,5
354.85,258.12,83,8,0,2,11
198.82,310.54,84,8,1,0,13
83.18,136.12,85,5,0,1,4
178.29,309.12,86,6,1,2,13
141.74,352.74,88,5,1,0,13
241.07,61.31,90,6,0,2,2
350.13,57.27,91,5,1,1,3
166.97,262.91,92,8,0,0,9
249.36,286.67,93,8,1,0,10
273.98,94.32,94,8,1,2,2
257.06,346.83,95,6,1,0,14
166.48,351.98,96,6,0,1,13
377.34,301.37,97,5,0,0,15
65.41,87.79,98,6,1,1,0
61.65,25.99,99,8,0,1,0
10.40,155.10,100,7,0,1,4
183.01,259.82,101,7,1,1,9
208.05,294.53,102,7,1,2,10
125.70,359.64,103,8,0,2,13
4.12,222.42,104,8,1,1,8
257.98,255.59,105,6,1,2,10
300.00,233.70,106,5,0,1,10
358.06,90.61,107,8,0,0,3
383.59,273.95,108,7,0,1,11
246.90,374.44,109,8,1,1,14
163.81,123.11,111,7,0,1,5
262.64,216.61,112,7,1,1,10
15.61,219.79,114,5,0,2,8
130.41,132.20,115,8,1,2,5
226.57,15.35,116,6,1,1,2
166.87,399.38,117,5,0,1,13
121.02,137.00,118,8,0,2,5
120.48,380.04,119,8,0,0,13
333.33,176.33,120,6,0,0,7
272.86,150.11,121,7,1,1,6
339.65,199.87,122,8,0,1,7
293.43,373.04,123,5,0,2,14
242.77,67.99,124,6,0,0,2
226.83,56.83,125,5,0,2,2
221.45,265.01,126,7,0,1,10
108.40,95.38,127,7,0,1,1
269.28,332.80,128,6,1,2,14
197.69,140.23,129,8,0,1,5
132.15,333.30,130,5,0,1,13
161.32,106.95,131,8,1,0,5
330.73,192.85,132,6,0,1,7
306.99,254.12,133,8,0,1,11
201.42,102.50,135,5,1,2,6
374.85,203.66,136,6,0,2,11
97.54,7.60,137,6,1,0,0
277.98,150.40,138,8,1,1,6
139.20,393.13,139,5,1,1,13
236.83,150.39,140,6,0,1,6
257.97,93.38,141,8,1,1,2
162.94,129.36,142,5,1,2,5
352.82,361.07,144,7,0,2,15
15.09,153.99,145,5,0,2,4
87.39,307.36,146,8,0,0,12
60.01,256.19,147,5,0,0,8
